,Unnamed: 0,title,imdb_id,genres,director,stars,release_date,budget,gross_USA,gross_world,production_co,imdb_score,critic_score
0,0,Pride and Prejudice and Zombies,tt1374989,55.4,53,56,5-Feb-16,28000000,10938134,16457494,60.67,5.8,45
1,1,American Ultra,tt3316948,53.41,49,58.33,21-Aug-15,28000000,14440985,27262374,54.67,6.1,50
2,2,Jane Got a Gun,tt2140037,58.35,56,58.67,29-Jan-16,25000000,1513793,3067531,45.33,5.9,49
3,3,Pitch Perfect 2,tt2848292,60.7,52,55,15-May-15,29000000,184296230,287144079,47.33,6.4,63
4,4,Bone Tomahawk,tt2494362,60.39,67,53.33,19-Feb-16,1800000,0,0,57.5,7.1,72
5,5,Dark Places,tt2402101,57.34,52,60.33,18-Jun-15,20000000,208588,5090852,50.67,6.2,39
6,6,Jupiter Ascending,tt1617661,54.6,60.5,55,6-Feb-15,176000000,47387723,183887723,52,5.3,40
7,7,Furious 7,tt2820852,53.41,46,51.67,3-Apr-15,190000000,353007020,1515255622,55.33,7.1,67
8,8,Pan,tt3332064,56.2,63,55,9-Oct-15,150000000,35088320,128388320,55,5.7,36
9,9,Our Kind of Traitor,tt1995390,57.89,79,55.33,13-May-16,0,3153157,10711027,65,6.2,57
10,10,The Walk,tt3488710,58.65,56,63.33,9-Oct-15,35000000,10137502,61181942,58.67,7.3,70
11,11,Child 44,tt1014763,58.79,56,57.33,17-Apr-15,50000000,1224330,12951093,53,6.5,41
12,12,Southpaw,tt1798684,58.25,52,60,24-Jul-15,30000000,52421953,91970827,47.67,7.4,57
13,13,Chappie,tt1823672,56.48,61,54,6-Mar-15,49000000,31569268,102811889,54,6.8,41
14,14,Digging for Fire,tt3704416,59.35,62,55.67,21-Aug-15,0,119364,119364,69.33,5.8,69
15,15,Sisters,tt1850457,55.57,55,65,18-Dec-15,30000000,87044645,105011053,58,6,58
16,16,By the Sea,tt3707106,59.35,53,58.67,9-Dec-15,10000000,538460,3334927,51.33,5.3,44
17,17,Suffragette,tt3077214,63.86,74,65,12-Oct-15,14000000,4702420,31972096,62.67,6.9,66
18,18,Nasty Baby,tt3121332,63.13,68,64.33,30-Oct-15,0,79800,80772,68.67,5.7,64
19,19,The Little Prince,tt1754656,59.1,72,59,5-Aug-16,81200000,1339152,97571250,57.67,7.7,70
20,20,Money Monster,tt2241351,57.34,62,60.67,13-May-16,27000000,41012075,93282604,51,6.5,55
21,21,Victor Frankenstein,tt1976009,57.97,74,55,25-Nov-15,65000000,5775076,34227298,49.33,6,36
22,22,The Man from U.N.C.L.E.,tt1638355,53.96,48,54.67,14-Aug-15,75000000,45445109,107045109,57.67,7.3,56
23,23,Miles Ahead,tt0790770,62.42,61,50,22-Apr-16,0,2610896,3473958,58.5,6.4,64
24,24,Our Little Sister,tt3756788,60.04,79,74,13-Jun-15,0,531996,15918101,67.33,7.5,75
25,25,Spy,tt3079380,53.41,54,55.33,5-Jun-15,65000000,110825712,235666219,58.67,7,75
26,26,Mississippi Grind,tt2349144,59.35,72,58,13-Aug-15,6000000,130541,422746,64,6.4,77
27,27,A Hologram for the King,tt2980210,58.09,62,51,28-Apr-16,30000000,4212494,9169507,55.33,6.1,58
28,28,Everest,tt2719848,57.7,57,65.33,25-Sep-15,55000000,43482270,203427584,58.33,7.1,64
29,29,The Brothers Grimsby,tt3381008,54.49,49,56,11-Mar-16,35000000,6874837,27979040,60.67,6.2,44
30,30,Z for Zachariah,tt1598642,57.52,68,60,13-Aug-15,7500000,121461,381839,59,6,68
31,31,True Story,tt2273657,61.04,58,56,17-Apr-15,0,4719695,5261595,62.67,6.3,50
32,32,Mission: Impossible - Rogue Nation,tt2381249,53.41,59,69.33,31-Jul-15,150000000,195042377,682716636,59,7.4,75
33,33,Fantastic Four,tt1502712,54.6,52,53.67,7-Aug-15,120000000,56117548,167882881,54.33,4.2,27
34,34,The Martian,tt3659388,58.56,58,62,2-Oct-15,108000000,228433663,630162448,55.67,8,80
35,35,Freeheld,tt1658801,61.28,66,63.33,10-Feb-16,7000000,573335,1474471,51.33,6.6,50
36,36,Room,tt3170832,58.52,77,55,22-Jan-16,13000000,14677654,35401758,70.67,8.1,86
37,37,Burnt,tt2503944,59.35,58,55.67,30-Oct-15,20000000,13651946,36606743,51,6.6,42
38,38,Trespass Against Us,tt3305308,56.23,71,63.33,24-Nov-16,0,5711,517197,60.67,5.8,50
39,39,The Last Face,tt3286560,59.35,59,54.5,28-Jul-17,0,0,0,55.33,4.9,16
40,40,Desierto,tt3147312,55.84,74,60.67,13-Apr-16,3000000,2002036,4924990,57,6,51
41,41,Forsaken,tt1606774,58.35,65,54.5,19-Feb-16,11000000,0,0,46.67,6.3,55
42,42,Truth,tt3859076,61.7,49,59.67,30-Oct-15,9600000,2541854,5383097,59,6.8,66
43,43,Green Room,tt4062536,55.63,73,58,13-May-16,5000000,3220371,3769214,64,7,79
44,44,Far from the Madding Crowd,tt2935476,59.35,61,62.67,22-May-15,0,12236500,30229977,61.33,7.1,71
45,45,The Night Before,tt3530002,56.39,57,60.67,20-Nov-15,25000000,43047372,52395996,52.33,6.4,58
46,46,45 Years,tt3544082,59.35,85,60.67,28-Aug-15,0,4247285,14430249,72,7.1,94
47,47,Ricki and the Flash,tt3623726,61.51,71,57.33,7-Aug-15,18000000,26822144,41325328,56.33,5.9,54
48,48,Results,tt3824412,55.57,72,57.67,29-May-15,0,104507,104507,66,5.4,73
49,49,Entertainment,tt3343784,63.13,55,61.67,13-Nov-15,0,55506,55506,66,5.7,65
50,50,Tale of Tales,tt3278330,59.24,72,54.67,22-Apr-16,0,118925,5497104,67.33,6.4,72
51,51,Demolition,tt1172049,59.35,67,61,8-Apr-16,10000000,1978592,4366460,63.67,7,49
52,52,The Program,tt3083008,62.88,69,58.67,18-Mar-16,0,13074,3335613,56.67,6.5,53
53,53,Ex Machina,tt0470752,58.17,66,59.33,24-Apr-15,15000000,25442958,36869414,64,7.7,78
54,54,Spotlight,tt1895587,61.64,60,59.33,20-Nov-15,20000000,45055776,98690254,71.67,8.1,93
55,55,Slow West,tt3205376,56.6,72,63.67,16-Apr-15,2000000,229094,1295574,69,6.9,72
56,56,Magic Mike XXL,tt2268016,61.51,63,57.67,1-Jul-15,14800000,66013057,117813057,59.5,5.6,60
