,title,trailer_id,like_counts,dislike_counts
0,Pride and Prejudice and Zombies,foGraEVNI0s,37816,4237
1,American Ultra,bLGFwkRx2HA,31088,876
2,Jane Got a Gun,fm7qxI3gmpw,2506,291
3,Pitch Perfect 2,1RgKlnG5aQY,12400,405
4,Bone Tomahawk,QuGmtoQBPEM,880,62
5,Dark Places,SpG5dWV7piw,11025,505
6,Jupiter Ascending,t4ZzMkDLjWI,16770,1191
7,Furious 7,Skpu5HaVkOc,359205,10727
8,Pan,Y1wRv8vTpxo,17953,1494
9,Our Kind of Traitor,yLkd0bU3EEE,3281,147
10,The Walk,4W6byFcD5uE,26376,1103
11,Child 44,Uia6y9SRsj4,15604,955
12,Southpaw,Mh2ebPxhoLs,83681,2658
13,Chappie,l6bmTNadhJE,31344,1216
14,Digging for Fire,3tPy8DM3h20,133,5
15,Sisters,R11L9cI1dFE,22930,1405
16,By the Sea,y08gxV5tHUQ,1232,149
17,Suffragette,056FI2Pq9RY,16187,720
18,Nasty Baby,2rRlSbfLZG4,414,120
19,The Little Prince,fEPqgSNLfK8,48624,625
20,Money Monster,lWwPSmodEsc,3735,139
21,Victor Frankenstein,2vqNOZIbIRM,6166,210
22,The Man from U.N.C.L.E.,CzYRlISYE8Y,6744,373
23,Miles Ahead,ssfTNCTVT5U,6332,247
24,Our Little Sister,NtTeSQFce2A,1726,20
25,Spy,YrY3v1eDmQY,29857,1233
26,Mississippi Grind,Ooca5idaNSk,4039,245
27,A Hologram for the King,UW4OE1egbHs,11240,7115
28,Everest,79Q2rrQlPW4,63388,1308
29,The Brothers Grimsby,1pjwDOVQQjo,5633,382
30,Z for Zachariah,bxw4KFxPcoY,6418,414
31,True Story,xu2ghucS3Tc,219,6
32,Mission: Impossible - Rogue Nation,pXwaKB7YOjw,25799,951
33,Fantastic Four,0376APsvw8U,2401,620
34,The Martian,ej3ioOneTy8,77242,2130
35,Freeheld,rMV6KC74GeA,4351,341
36,Room,ZO0MXSX7zvg,8403,338
37,Burnt,Ws5TnGiqGgM,4774,265
38,Trespass Against Us,u4CUb6hwQv4,218,18
39,The Last Face,OUjvg7cYwno,7979,482
40,Desierto,OIdPSVKZsD4,4631,468
41,Forsaken,zO8xbYx6tco,1556,138
42,Truth,LoNoOn6c0gA,2002,90
43,Green Room,Q8XSARX3DQg,5322,274
44,Far from the Madding Crowd,7m6YNWpvBgo,81,9
45,The Night Before,kOBdxkhJvHQ,6070,700
46,45 Years,Tg5cpiX18TA,2284,545
47,Ricki and the Flash,x8PVK6Hky2A,6600,776
48,Results,fqv1ABJoUJY,201,9
49,Entertainment,laCKBx6dmW8,1412,522
50,Tale of Tales,M9tEITW5bE4,529,16
51,Demolition,3UnSXelOJo0,13517,703
52,The Program,dBOwtSdtAYg,181,11
53,Ex Machina,bggUmgeMCdc,2979,134
54,Spotlight,EwdCIpbTN5g,18411,609
55,Slow West,pFfsTsdJfF8,9142,305
56,Magic Mike XXL,lMulcnyxzxQ,30774,825
57,Ant-Man,pWdKf3MneyI,122554,4631
58,Jurassic World,RFinNxS5KN4,353895,17984
59,Equals,6GiU2SSG624,5497,166
60,A Bigger Splash,3zC13ekq1Sk,10557,690
61,Blackhat,jZ1ZDlLImF8,6495,531
62,Our Brand Is Crisis,LDh17hmTQ74,4116,233
63,Queen of Earth,AU3a8oniq2s,197,16
64,Spectre,ujmoYyEyDP8,10508,281
65,Avengers: Age of Ultron,tmeOjFno6Do,674782,14793
66,Rules Don't Apply,mGJPwT0hupM,142,47
67,Joy,SN4MLMHET7w,20050,2605
68,Legend,8pv9T98T1Oo,432,242
69,Arabian Nights: Volume 1 - The Restless One,QBbZq4Icmds,26,3
70,Triple 9,JzUtr5sjRvU,15353,758
71,Black Mass,CE3e3hGF2jc,43650,1107
72,Steve Jobs,aEr6K1bwIVs,71379,5523
73,The Sea of Trees,2tuemib6AG4,3686,281
74,Aloha,I6H4eQhllVM,1641,210
75,Louder Than Bombs,vKPgMJ4rVJM,86,1
76,Tomorrowland,eDE2ZDK6xv0,427,27
77,Irrational Man,hP8mPkyBntw,9623,754
78,Trainwreck,jGtqeO5oFCc,338,49
79,Youth,NJ9RNIRn38g,41,6
80,Sicario,G8tlEcnrGnU,20696,721
81,Mistress America,6z8MCW16uZY,2940,285
82,Life (2015),_ctOgZ5K5to,9380,361
83,High-Rise,e4pujABeKuA,4398,168
84,Crimson Peak,6yAbFYbi8XU,15613,380
85,Midnight Special,1zuQTmVCEn4,10506,570
86,Everybody Wants Some!!,y6raUs0CiCQ,8043,871
87,Bridge of Spies,mBBuzHrZBro,16843,698
88,The Lobster,vU29VfayDMw,13850,503
89,Inside Out,kAgJcEmMTek,15239,1388
90,The Good Dinosaur,daFnEiLEx70,21111,2006
91,The Light Between Oceans,g3uULkvZh1w,5407,87
92,Beasts of No Nation,oRsaclO0VbU,9713,743
93,Mad Max: Fury Road,hEJnMQG9ev8,135895,6201
94,Queen of the Desert,vwvymINJIAo,5302,955
95,Carol,679wr31SXWk,10501,492
96,Macbeth,YqHhKuCQmoY,9754,317
97,Silence,A0KUWzfugg4,18379,1524
98,Star Wars: Episode VII - The Force Awakens,TIXENSAeGE0,271,72
99,The Revenant,LoebZZ8K5N0,78189,2258
100,Miss Peregrine's Home for Peculiar Children,HzCC4QZmptk,32462,665
101,Independence Day: Resurgence,LbduDRH2m2M,102548,6537
102,Warcraft,2Rxoz13Bthc,139915,6902
103,Snowden,QlSAiI3xMh4,92219,5108
104,A United Kingdom,n9kAjBPcPkQ,2406,211
105,Dark Crimes,QEijgVViWpw,181,20
106,Zoolander 2,4CL4LNWHegk,84811,5458
107,The Zookeeper's Wife,eiEfrA6MWs4,11624,373
108,Moana,C6PbWhWGUrY,63690,2639
109,Zama,Dc5hiLqHa6g,646,45
110,Queen of Katwe,z4l3-_yub5A,20356,687
111,Sing,va9mGwngAfM,34280,5203
112,Whiskey Tango Foxtrot,3RpNlcCKsDc,250,51
113,The Great Wall,avF6GHyyk5c,32803,5383
114,À jamais,Qe0mfHiMpXw,89,4
115,The Founder,AX2uz2XYkbo,24592,911
116,Deepwater Horizon,8yASbM8M2vg,34693,2210
117,American Pastoral,EmG1HUeupPk,386,12
118,Batman v Superman: Dawn of Justice,0WWzgGyAH6Y,496740,20427
119,X-Men: Apocalypse,PfBVIHgQbYk,132439,7706
120,Belgica,oz1yQcfEGX4,313,10
121,The Magnificent Seven,58abXibG768,1472,141
122,The Discovery,KNMs2sx3ayM,1801,200
123,The Commune,KsEXwrgKjQ0,144,5
124,Neruda,5es09qC0zpQ,75,4
125,Mascots,rPxuwEA7Avc,421,41
126,War on Everyone,XQ2L1heHHnk,2162,211
127,War Dogs,dKYaEPdcV1g,17056,437
128,John Wick: Chapter 2,ChpLV9AMqm4,41683,1055
129,Christine,v0itmG80oLI,6160,253
130,Captain America: Civil War,dKrVegVI0Us,752708,16131
131,Star Trek Beyond,dCyv5xKIqlw,25495,1237
132,Free State of Jones,3EMkxEKKSQI,8961,642
133,Little Men,NmEPA26TBOo,865,154
134,Finding Dory,JhvrQeY3doI,13329,448
135,Popstar: Never Stop Never Stopping,Q9RoNzJrmDo,14773,4119
136,The Promise,C5LBCIHOykk,2878,667
137,Gold,gdLXPv5NsA4,10339,515
138,Hell or High Water,JQoqsKoJVDw,13355,460
139,The Disaster Artist,cMKX2tE5Luk,70791,1699
140,Fantastic Beasts and Where to Find Them,VYZ3U1inHA4,21262,718
141,Allied,CiKq2WGqhM0,2031,73
142,Love & Friendship,9PBZy9j3H3I,667389,16391
143,Kubo and the Two Strings,vex0gPFnBvM,13777,551
144,The Girl on the Train,KkoEE1i0CX8,35697,1487
145,Pete's Dragon,fPOamb6d_20,39949,2775
146,Una,dBQ0sDeBUWY,214,9
147,The Man with the Iron Heart,EhGS2jnfMus,10402,1073
148,Keanu,K9zy27apgI8,10580,420
149,Suicide Squad,Z1EbSXxrZ34,72461,3109
150,Sausage Party,WVAcTZKTgmc,67044,7609
151,Loving,zRXuCY7tRgk,32922,1233
152,Salt and Fire,YWLb1rFurzc,56,7
153,A Monster Calls,WMgm20Di9Wg,8027,1110
154,Things to Come,wemRBFFbhKI,,
155,Colossal,fqcZtz8VXXE,25272,881
156,Billy Lynn's Long Halftime Walk,veoPig2LJDU,1286,96
157,The BFG,YxkyJ62bwHI,94,30
158,Personal Shopper,reASHCu2wLQ,19540,1128
159,Moonlight,9NJj12tJzqc,68145,6325
160,Jackie,g9pW3B8Ycc4,19352,514
161,Manchester by the Sea,gsVoD0pTge0,29884,1381
162,How to Talk to Girls at Parties,nWzHaRM8jeo,21147,1298
163,Nocturnal Animals,juFmTNbFh8g,7909,951
164,Paterson,m8pGJBgiiDU,15826,735
165,Wiener-Dog,8C7OewoxnKI,1592,151
166,The Circle,QCOXARv6J9k,44846,2239
167,Certain Women,or5lYLL41SY,2235,131
168,Passengers,7BWWWQzTpNU,160257,6675
169,The Handmaiden,whldChqCsYk,21998,397
170,The Bad Batch,BsOmYpP4UDU,116522,9416
171,Assassin's Creed,4haJD6W136c,92364,4688
172,Doctor Strange,MWRUNTLisPo,6052,349
173,American Honey,y1SpWZm1PLc,16469,925
174,Julieta,yoi4dbpqZmg,524,37
175,The Unknown Girl,4TYCCPYdGTw,85,3
176,It's Only the End of the World,mLDP3U7gpnw,1287,31
177,Free Fire,oDD3I0uOlqY,16642,1263
178,The Nice Guys,GQR5zsLHbYw,23591,731
179,Ghostbusters: Answer the Call,t6hlkIlGFCI,25284,92602
180,High Life,AtOwfo1ypOw,25001,1110
181,La La Land,0pdqf4P9MB8,164454,7154
182,Jason Bourne,v71ce1Dqqns,40541,1188
183,20th Century Women,6JnFaltqnAY,5793,465
184,The Lost City of Z,yqGDNvX1F4g,8320,474
185,Arrival,tFMo3UJ4B4g,112838,5315
186,Rogue One: A Star Wars Story,frdj1zb9sMY,324325,12510
187,The Neon Demon,cipOTUO0CmU,44276,4489
188,The Salesman,aWn20EsKNI8,0,0
189,"Hail, Caesar!",kMqeoW3XRa0,23515,2033
190,War Machine,sIqXRDDdo7c,18485,2570
191,Song to Song,mL0FYUpXuoo,6644,268
192,Brawl in Cell Block 99,5hfAExhHTMM,7841,873
193,Landline,llmki0lioMs,2058,130
194,Godard Mon Amour,12rBqYvTaDA,1035,16
195,Atomic Blonde,aieQrj9Yy8s,9871,720
196,The Dark Tower,GjwfqXTebIY,138538,17009
197,The Mercy,ToN2G3K5pOE,1014,98
198,In the Fade,UyjnzhXJlHU,2874,804
199,Wonder Wheel,VFM0UqX9MJ8,3899,750
200,A Fantastic Woman,PJHex4ZitgA,2799,231
201,Alien: Covenant,svnAD0TApb8,172748,9804
202,The Lovers,0sgAgzTmq0k,2303,402
203,Valerian and the City of a Thousand Planets,NNrK7xVG3PM,58280,3523
204,Life (2017),dgOGqWHtjP0,15409,883
205,Wonder Woman,1Q8fG0TtVAY,252641,9596
206,D'après une histoire vraie,VhFGQoPpxLw,1628,126
207,Battle of the Sexes,WMdzBwsZRX8,12512,1740
208,The Dinner,DZzcjIbd8O0,1737,307
209,Mary Shelley,6EaDRhPm1DM,46005,796
210,Euphoria,cajLoaFl2Zo,90533,1891
211,The Legacy of a Whitetail Deer Hunter,TIwccgV2whM,2942,260
212,The Book of Henry,Dz8R2xxeyaA,115541,2182
213,Wilson,AKHFZumOS94,5309,284
214,Paddington 2,5B6A0UrYJsk,3822,185
215,The Cloverfield Paradox,jrxBaaINseI,11942,955
