,title,critic_score,genres,stars,director,production_co,polarity,like_rate
0,Pride and Prejudice and Zombies,45,55.4,56.0,53.0,60.67,0.2227868330536856,0.899246189332509
1,American Ultra,50,53.41,58.33,49.0,54.67,0.23826712515537746,0.9725941684394944
2,Jane Got a Gun,49,58.35,58.67,56.0,45.33,0.07503528339616923,0.8959599570968895
3,Pitch Perfect 2,63,60.7,55.0,52.0,47.33,0.1994215827322487,0.9683717297930496
4,Bone Tomahawk,72,60.39,53.33,67.0,57.5,0.1416091457453584,0.9341825902335457
5,Dark Places,39,57.34,60.33,52.0,50.67,0.15195456677091862,0.9562012142237641
6,Jupiter Ascending,40,54.6,55.0,60.5,52.0,0.20033648238066432,0.9336896609320193
7,Furious 7,67,53.41,51.67,46.0,55.33,0.13753192323551552,0.9710027788890931
8,Pan,36,56.2,55.0,63.0,55.0,0.1934685365114381,0.9231758111791022
9,Our Kind of Traitor,57,57.89,55.33,79.0,65.0,0.14407914016710316,0.9571178529754959
10,The Walk,70,58.65,63.33,56.0,58.67,0.19807446332132245,0.9598602569234689
11,Child 44,41,58.79,57.33,56.0,53.0,0.22869404536950494,0.9423274352315961
12,Southpaw,57,58.25,60.0,52.0,47.67,0.2978597323294953,0.9692143758903856
13,Chappie,41,56.48,54.0,61.0,54.0,0.19482667227036785,0.9626535626535626
14,Digging for Fire,69,59.35,55.67,62.0,69.33,0.2401515151515152,0.9637681159420289
15,Sisters,58,55.57,65.0,55.0,58.0,0.16041394514339818,0.9422642284775016
16,By the Sea,44,59.35,58.67,53.0,51.33,0.1310941572316572,0.8921071687183201
17,Suffragette,66,63.86,65.0,74.0,62.67,0.19929485379464282,0.9574140888389424
18,Nasty Baby,64,63.13,64.33,68.0,68.67,0.026071616462241452,0.7752808988764045
19,The Little Prince,70,59.1,59.0,72.0,57.67,0.23751049481066205,0.9873093869926293
20,Money Monster,55,57.34,60.67,62.0,51.0,0.15800984759187717,0.964119772844605
21,Victor Frankenstein,36,57.97,55.0,74.0,49.33,0.10327184035907658,0.9670639899623589
22,The Man from U.N.C.L.E.,56,53.96,54.67,48.0,57.67,0.15592040906543272,0.9475902768020233
23,Miles Ahead,64,62.42,50.0,61.0,58.5,0.1634553726876125,0.9624563003495972
24,Our Little Sister,75,60.04,74.0,79.0,67.33,0.2588490907191411,0.9885452462772051
25,Spy,75,53.41,55.33,54.0,58.67,0.309473321378083,0.9603409456416855
26,Mississippi Grind,77,59.35,58.0,72.0,64.0,0.16967565326355005,0.9428104575163399
27,A Hologram for the King,58,58.09,51.0,62.0,55.33,0.13240036461281765,0.612367202397167
28,Everest,64,57.7,65.33,57.0,58.33,0.22049043795137144,0.979782366761469
29,The Brothers Grimsby,44,54.49,56.0,49.0,60.67,0.06902129066253082,0.9364921030756442
30,Z for Zachariah,68,57.52,60.0,68.0,59.0,0.10974081351148489,0.9394028103044496
31,True Story,50,61.04,56.0,58.0,62.67,0.012748015873015864,0.9733333333333334
32,Mission: Impossible - Rogue Nation,75,53.41,69.33,59.0,59.0,0.22032063191918091,0.9644485981308412
33,Fantastic Four,27,54.6,53.67,52.0,54.33,0.16209938343859595,0.7947699437272426
34,The Martian,80,58.56,62.0,58.0,55.67,0.21638937845526304,0.9731643400695459
35,Freeheld,50,61.28,63.33,66.0,51.33,0.07160736027602607,0.9273231031543052
36,Room,86,58.52,55.0,77.0,70.67,0.09316040938583312,0.9613316554170004
37,Burnt,42,59.35,55.67,58.0,51.0,0.05807458924719666,0.9474102004365945
38,Trespass Against Us,50,56.23,63.33,71.0,60.67,0.3633101851851852,0.923728813559322
39,The Last Face,16,59.35,54.5,59.0,55.33,0.09534396544813212,0.9430327384469921
40,Desierto,51,55.84,60.67,74.0,57.0,0.09961069993328059,0.9082172975093156
41,Forsaken,55,58.35,54.5,65.0,46.67,0.21271295011529381,0.9185360094451004
42,Truth,66,61.7,59.67,49.0,59.0,0.1680424174174174,0.9569789674952199
43,Green Room,79,55.63,58.0,73.0,64.0,0.08298680221475277,0.9510364546104361
44,Far from the Madding Crowd,71,59.35,62.67,61.0,61.33,0.2708333333333333,0.9
45,The Night Before,58,56.39,60.67,57.0,52.33,0.08935358578418694,0.896602658788774
46,45 Years,94,59.35,60.67,85.0,72.0,0.11568835152116393,0.8073524213503005
47,Ricki and the Flash,54,61.51,57.33,71.0,56.33,0.20678898664942555,0.8947939262472885
48,Results,73,55.57,57.67,72.0,66.0,0.04583333333333334,0.9571428571428572
49,Entertainment,65,63.13,61.67,55.0,66.0,0.10064717081164448,0.7300930713547052
50,Tale of Tales,72,59.24,54.67,72.0,67.33,0.3477272727272727,0.9706422018348624
51,Demolition,49,59.35,61.0,67.0,63.67,0.127880517565626,0.9505625879043601
52,The Program,53,62.88,58.67,69.0,56.67,0.26732568027210885,0.9427083333333334
53,Ex Machina,78,58.17,59.33,66.0,64.0,0.18766136659489838,0.9569547060713138
54,Spotlight,93,61.64,59.33,60.0,71.67,0.2782482547479427,0.967981072555205
55,Slow West,72,56.6,63.67,72.0,69.0,0.18258434882825514,0.9677146183973748
56,Magic Mike XXL,60,61.51,57.67,63.0,59.5,0.1226647448818543,0.9738915788474318
57,Ant-Man,64,54.84,57.33,55.0,57.33,0.2245525624927278,0.9635884734835083
58,Jurassic World,59,54.6,58.33,53.0,57.67,0.16949883169955174,0.9516401840383566
59,Equals,43,58.73,52.0,55.0,49.67,0.1354001004540407,0.9706869150626877
60,A Bigger Splash,74,60.95,65.67,78.0,69.67,0.057407207773418685,0.9386503067484663
61,Blackhat,51,53.94,58.34,65.0,60.0,0.06428454517887591,0.9244235695986337
62,Our Brand Is Crisis,53,59.35,52.0,60.0,56.0,0.18835638541175456,0.9464244653943436
63,Queen of Earth,77,57.57,62.33,60.0,70.33,0.1674191919191919,0.9248826291079812
